"id","account_id","section_id","publication","published_on","occurred_on","query_name","query_id"
"133b2d43f47208bd578265c7dec5783dc01d8f7fbdf99deab973003e33c98fa2","15841","3d0fe7ce-86be-46a8-a446-1ac8a8ab7431","Boursier.com","2026-03-27T00:08:47.000Z","2026-03-27T00:15:37.460Z","CONCURRENTS","81f90b0e-0b08-4f2f-a7c6-acd45985dba9"
"51f701ade2f25c0ab75f949203ccb95dbf5984c3f5c2f241f68ddeba32c64f59","15841","3d0fe7ce-86be-46a8-a446-1ac8a8ab7431","Boursier.com","2026-03-27T00:04:16.000Z","2026-03-27T00:15:37.460Z","CONCURRENTS","81f90b0e-0b08-4f2f-a7c6-acd45985dba9"
"258c00d1a0b9ace02b986e3600a6cb806800cf6df5d793376e368349421ef139","15841","583b2cdb-97b9-483c-8f29-24a647e18d9a","Boursier.com","2026-03-27T00:17:32.000Z","2026-03-27T00:30:44.433Z","ACTIONNAIRES","b44a3938-ba42-4eea-bd18-c85c7fa1deab"
"onclusive-fr-1249454121","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:15:46.567Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249454166","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:15:46.567Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249454003","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:30:30.376Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249454696","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T01:30:30.376Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249454767","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Tribune","2026-03-27T00:00:00.000Z","2026-03-27T01:30:30.376Z","logement Gecina","65de5e7e-769b-4f0a-80b9-216e0509d9ca"
"onclusive-fr-1249455748","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","L'Opinion","2026-03-27T00:00:00.000Z","2026-03-27T01:45:35.107Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249455468","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","L'Opinion","2026-03-27T00:00:00.000Z","2026-03-27T01:45:35.107Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249455401","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T01:45:35.107Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249455357","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Aujourd'hui en France","2026-03-27T00:00:00.000Z","2026-03-27T01:45:35.107Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249463524","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","L'Agefi","2026-03-27T00:00:00.000Z","2026-03-27T02:31:04.351Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249469949","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Les Echos","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","immo tertiaire gecina","7374121d-4bc5-4de7-a06b-24a7f37f3965"
"onclusive-fr-1249469988","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","immo tertiaire gecina","7374121d-4bc5-4de7-a06b-24a7f37f3965"
"onclusive-fr-1249475781","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Les Echos","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249470169","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","immo tertiaire gecina","7374121d-4bc5-4de7-a06b-24a7f37f3965"
"onclusive-fr-1249469923","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Libération","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249472114","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Les Echos","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249472430","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Les Echos","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","immo tertiaire gecina","7374121d-4bc5-4de7-a06b-24a7f37f3965"
"onclusive-fr-1249469654","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Parisien Week-End","2026-03-27T00:00:00.000Z","2026-03-27T03:00:50.832Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249480493","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Parisien","2026-03-27T00:00:00.000Z","2026-03-27T03:16:01.956Z","logement Gecina","65de5e7e-769b-4f0a-80b9-216e0509d9ca"
"onclusive-fr-1249479490","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Parisien","2026-03-27T00:00:00.000Z","2026-03-27T03:16:01.956Z","logement Gecina","65de5e7e-769b-4f0a-80b9-216e0509d9ca"
"onclusive-fr-1249476757","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T03:16:01.956Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249487140","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Le Figaro Magazine","2026-03-27T00:00:00.000Z","2026-03-27T04:15:40.662Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249488359","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Madame Figaro","2026-03-27T00:00:00.000Z","2026-03-27T04:30:40.066Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249490264","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","TV Magazine - Le Figaro","2026-03-27T00:00:00.000Z","2026-03-27T04:45:53.923Z","urbanisme et amenagement gecina","0d4dc228-4037-41a4-b190-0905b4ecad81"
"onclusive-fr-1249508667","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Correspondance économique","2026-03-27T00:00:00.000Z","2026-03-27T06:15:37.505Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249508605","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","La Correspondance économique","2026-03-27T00:00:00.000Z","2026-03-27T06:15:37.505Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"onclusive-fr-1249512336","15841","49c6d0f9-6ccf-4154-8268-6856c40f2ff5","Agence France Presse","2026-03-27T00:00:00.000Z","2026-03-27T06:30:39.188Z","finance durable gecina","bc509e2d-638b-4607-8b51-82f997b6a656"
"32493dbc1fe5a281c11ac11be259fe2173b9bc2d72f7334d8b2ef1173153f896","15841","3d0fe7ce-86be-46a8-a446-1ac8a8ab7431","Boursorama.com","2026-03-27T06:16:03.000Z","2026-03-27T06:30:39.188Z","CONCURRENTS","81f90b0e-0b08-4f2f-a7c6-acd45985dba9"
