"id","account_id","section_id","publication","published_on","occurred_on","query_name","query_id"
"spain-api-C55805786","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","Diari Mes El Diari del Camp de Tarragona","2026-03-27T00:00:00.000Z","2026-03-27T08:55:06.471Z","Tarrgona print and web with relevance","eb3543d1-cd20-48af-a36f-64e2c3c2755f"
"15ae0d2bf81cb64b8ae3c847e0ef791507179dd2392c45c0dd358a3f5e94833d","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","elnacional.cat","2026-03-27T04:30:00.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"6826bdb61cf0e945c72958bd997fa2e881911ba7bee7dd535302bcb675c8aac4","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","elprat.cat","2026-03-27T02:56:44.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"bc79c36afbbbc766013a64438ed3e88a2cbb7a299db2c758a648a367a5b5716d","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","Tarragona Ràdio","2026-03-27T07:09:38.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"0ecf234a0b757aaed43ebbdeb10cdacf0ab3f82997fb895fc0f1b2dcdb0eb380","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","Via Empresa","2026-03-27T04:01:24.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"1e6aafaa99c6815a9ffd20461a7cfbdde4365e09103f87d89254ac6d2d5389a6","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","laplanaradio.cat","2026-03-27T07:36:33.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"552419a7d20ecdb4108d1d132bcb0173b836488e7624747d3c7a5fd49bca6740","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","www.diarimes.com","2026-03-27T06:12:34.000Z","2026-03-27T08:55:06.471Z","Tarragona web in catalan","c053c9c9-2b0e-4c2d-ac44-5c90fb301531"
"spain-api-C55808413","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","Diari de Tarragona","2026-03-27T00:00:00.000Z","2026-03-27T08:55:06.471Z","Tarrgona print and web with relevance","eb3543d1-cd20-48af-a36f-64e2c3c2755f"
"spain-api-C55805820","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","El 3 de Vuit","2026-03-27T00:00:00.000Z","2026-03-27T08:55:06.471Z","Tarrgona print and web with relevance","eb3543d1-cd20-48af-a36f-64e2c3c2755f"
"spain-api-C55801301","46135","ba27423c-f120-4574-b055-d8ab5e5b7a88","As","2026-03-27T00:00:00.000Z","2026-03-27T08:55:06.471Z","Tarrgona print and web with relevance","eb3543d1-cd20-48af-a36f-64e2c3c2755f"
